ID;user;password;email;nome;cognome;stato;citta;indirizzo;0
1;buonvinogino;Lp7!zR84;ginobuonvino@knifemail.com;Gino;Buonvino;Italy;Imola;Via Mazzini 4, 40026 Imola?;1
2;tohnjohn;Fg9#Tr62;johntohn@knifemail.com;John;Tohn;Italy;Vigevano;Corso V. Emanuele II 25, 27029 Vigevano?;1
3;baguettebenois;Rv1$Xe93;benoisbaguette@knifemail.com;Benois;Baguette;France;Paris;24 Rue de l'Exposition, 75007 Paris?;1
4;pesciroberto;Tk5&Lw27;robertopesci@knifemail.com;Roberto;Pesci;Italy;Legnano;Piazza San Magno 9, 20025 Legnano?;1
5;palombasauro;Mp3@Hr56;sauropalomba@knifemail.com;Sauro;Palomba;Italy;Faenza;Piazza del Popolo 31, 48018 Faenza?;1
6;impeiluca;Nz8!Ja35;lucaimpei@knifemail.com;Luca;Impei;Italy;Quartu Sant'Elena;Via Eligio Porcu, 09045 Quartu Sant'Elena?;1
7;rossidino;Sk2^Qe91;dinorossi@knifemail.com;Dino;Rossi;Italy;Olbia;Via Vittorio Emanuele III 1, 07026 Olbia?;1
8;novotarskymariia;Rt7!Wm54;mariianovotarsky@knifemail.com;Mariia;Novotarsky;Czech Republic;Olomouc;T?�da Svobody 1, 779 00 Olomouc?;1
9;leonoscar;Vy3$Hn26;oscarleon@knifemail.com;Oscar;Leon;Italy;Bitonto;Corso Vittorio Emanuele 14, 70032 Bitonto?;1
10;pierimarco;Qk8%Zs47;marcopieri@knifemail.com;Marco;Pieri;Italy;Manfredonia;Corso Vittorio Emanuele 1, 71043 Manfredonia?;1
11;criscuololorenzo;Lm9#Bt31;lorenzocriscuolo@knifemail.com;Lorenzo;Criscuolo;Italy;Lamezia Terme;Via del Mare 1, 88046 Lamezia Terme?;1
12;bigazzimattia;Hd4!Gn82;mattiabigazzi@knifemail.com;Mattia;Bigazzi;Italy;Modica;Corso Umberto I 1, 97015 Modica?;1
13;hatajfiorello;Wx3@Lp65;fiorellohataj@knifemail.com;Fiorello;Hataj;Slovakia;Bratislava;Hlavn� n�mestie 1, 811 01 Bratislava?;1
14;galassiniccolo;Zt2$Mj71;niccologalassi@knifemail.com;Niccolo;Galassi;Italy;Rho;Via Marconi 1, 20017 Rho?;1
